Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1255000,1.4081717,111.61363636363636,63.09225,172.08333975889465,172.08333975889465,1.0
1260000,1.4078163,105.02127659574468,61.76515,135.1466429537915,135.1466429537915,1.0
1265000,1.4072734,105.25531914893617,65.52177,149.3751560855419,149.3751560855419,1.0
1270000,1.4072733,104.7872340425532,63.23308,131.31826893065838,131.31826893065838,1.0
1275000,1.4072734,100.80392156862744,63.12387,122.6855505775003,122.6855505775003,1.0
1280000,1.406404,116.65853658536585,67.15231,175.80127980360172,175.80127980360172,1.0
1285000,1.404399,107.28260869565217,61.053864,136.78205712463546,136.78205712463546,1.0
1290000,1.404399,104.1875,63.12756,154.78750594705343,154.78750594705343,1.0
1295000,1.404399,109.13333333333334,64.166145,257.8470129410426,257.8470129410426,1.0
1300000,1.4040691,111.5111111111111,68.11421,163.538291949696,163.538291949696,1.0
1305000,1.4030008,97.68627450980392,63.47407,116.82406578578201,116.82406578578201,1.0
1310000,1.4030008,110.11111111111111,65.17545,143.95798060629102,143.95798060629102,1.0
1315000,1.4030008,126.05128205128206,71.83857,201.21210479736328,201.21210479736328,1.0
1320000,1.402842,98.84,63.818783,142.78698228597642,142.78698228597642,1.0
1325000,1.401475,109.0,70.50801,178.63615339597067,178.63615339597067,1.0
1330000,1.401475,108.06521739130434,62.22742,131.67035476280296,131.67035476280296,1.0
1335000,1.4014752,100.56,65.69172,131.09206644296646,131.09206644296646,1.0
1340000,1.4012159,119.0,69.217514,190.19123299065092,190.19123299065092,1.0
1345000,1.399648,110.17777777777778,67.752045,150.0593144416809,150.0593144416809,1.0
1350000,1.3996478,112.76744186046511,66.62162,156.96624923861305,156.96624923861305,1.0
1355000,1.399648,118.38095238095238,74.27525,209.56229258151282,209.56229258151282,1.0
1360000,1.3995156,131.8684210526316,70.743546,196.2666254733738,196.2666254733738,1.0
1365000,1.3978388,99.65306122448979,69.211655,149.0455966263401,149.0455966263401,1.0
1370000,1.3978388,142.62857142857143,70.08669,276.76492465564183,276.76492465564183,1.0
1375000,1.3978387,134.35135135135135,65.69074,193.9365478206325,193.9365478206325,1.0
1380000,1.3977569,110.5,68.89952,156.39808803134494,156.39808803134494,1.0
1385000,1.395525,104.80434782608695,67.28469,155.57892176191856,155.57892176191856,1.0
1390000,1.395525,120.78048780487805,68.38448,167.0407129497063,167.0407129497063,1.0
1395000,1.3955251,97.90196078431373,64.02166,116.55627390683865,116.55627390683865,1.0
1400000,1.395525,116.28571428571429,70.83649,178.52332164560045,178.52332164560045,1.0
1405000,1.3936268,114.29545454545455,71.65993,186.28895518996498,186.28895518996498,1.0
1410000,1.3934176,103.40425531914893,73.12408,163.85011872332146,163.85011872332146,1.0
1415000,1.3934175,124.25,74.40156,232.73044261038302,232.73044261038302,1.0
1420000,1.3934175,103.29166666666667,67.18402,139.4977579091986,139.4977579091986,1.0
1425000,1.3924537,111.02222222222223,74.04037,156.95016205575732,156.95016205575732,1.0
1430000,1.3924065,133.51351351351352,78.69524,237.3627872467041,237.3627872467041,1.0
1435000,1.3924066,121.04878048780488,76.8077,191.8644330676009,191.8644330676009,1.0
